prefix,postcode,city,region,type
BA,BA12,Bath,East,Outlier
GU,GU32,Guildford,,
GU,GU34,Guildford,,
GU,GU35,Guildford,,
PO,PO17,Portsmouth,North,Non-City
PO,PO7,Portsmouth,North,Non-City
RG,RG25,Reading,South,Outlier
SO,SO16,Southampton,North,Non-City
SO,SO20,Southampton,North,Non-City
SO,SO21,Southampton,North,Non-City
SO,SO22,Southampton,North,Non-City
SO,SO23,Southampton,North,Non-City
SO,SO24,Southampton,North,Non-City
SO,SO32,Southampton,North,Non-City
SO,SO43,Southampton,North,Non-City
SO,SO51,Southampton,North,Non-City
SP,SP1,Salisbury,,
SP,SP11,Salisbury,,
SP,SP2,Salisbury,,
SP,SP3,Salisbury,,
SP,SP4,Salisbury,,
SP,SP5,Salisbury,,
SP,SP6,Salisbury,,
